angle_deg,Bx[mT],By[mT],Bz[mT],Bx[LSB],By[LSB],Bz[LSB]
0,5.784719411223551,-5.955924563017478,-4.3253357865685365,170.66697332106716,-175.70377184912604,-127.56117755289789
15,14.106315086782375,-14.058291054739653,-19.443851802403206,416.1214953271028,-414.7122830440587,-573.5847797062751
30,28.034052401746724,53.14910917030567,-65.50427074235807,827.0078602620088,1567.9091703056768,-1932.3676855895196
45,-36.61349381017882,8.082056396148555,79.80405777166436,-1080.1011004126547,238.41127922971114,2354.226960110041
60,-8.285355122564425,-17.73473287240729,15.618661219358895,-244.39472030169705,-523.1998742928976,460.752357008171
75,-3.1809302325581394,-5.854308785529716,2.253779069767442,-93.85271317829458,-172.7202842377261,66.46770025839793
90,-4.0984799999999995,1.2186036363636366,-1.898254545454545,-120.89309090909092,35.959272727272726,-56.008
105,-17.225094494659,18.975891536565328,-2.9101725554642557,-508.1503697617091,559.7797863599014,-85.81101068200493
120,-91.4295751633987,51.136021241830065,69.13053104575164,-2697.1789215686276,1508.5277777777778,2039.3513071895425
135,-61.784741318214024,-65.27382707299788,35.65776754075124,-1822.6661941885188,-1925.5818568391212,1051.9305457122607
150,-7.727010943912449,-13.544774281805745,-4.9100068399452805,-227.96922024623802,-399.5533515731874,-144.83994528043775
165,-3.4401943844492444,-0.2767386609071274,-1.2981569474442045,-101.47732181425486,-8.143268538516919,-38.30021598272138
180,-4.605604166666667,5.5639166666666675,3.3585555555555553,-135.8673611111111,164.1326388888889,99.0736111111111
195,-13.467461419753088,15.573009259259258,22.182353395061728,-397.27777777777777,459.4012345679012,654.3449074074074
210,-25.43724409448819,-41.91123120973515,79.02081603435934,-750.3922691481747,-1236.3858267716535,2331.1181102362207
225,35.29696629213483,-19.79376404494382,-84.88165028089888,1041.2640449438202,-583.9185393258427,-2503.994382022472
240,8.992392523364487,18.945676012461057,-18.020348909657322,265.2735202492212,558.8816199376947,-531.6118380062305
255,3.3834161073825504,5.889885906040269,-2.3186778523489933,99.80872483221476,173.75906040268455,-68.36644295302014
270,4.215885558583107,-0.9420504087193462,1.5945776566757495,124.35149863760218,-27.775885558583106,47.0224795640327
285,14.481118793211817,-16.724833438089252,2.538636077938403,427.20553111250786,-493.38026398491513,74.88749214330609
300,85.44042264150943,-49.743222641509426,-73.96190188679246,2520.4845283018867,-1467.44679245283,-2181.890566037736
315,52.671321882001486,70.69030619865572,-36.80067961165049,1553.8043315907394,2085.3614637789397,-1085.6138909634055
330,7.806395193591455,14.368397863818428,4.862977303070761,230.30507343124165,423.8558077436582,143.4279038718291
345,3.8149568345323734,0.5994316546762589,1.3510647482014388,112.55611510791367,17.68705035971223,39.82661870503597
360,5.530129770992367,-5.246312977099237,-3.4224885496183206,163.12519083969465,-154.78015267175573,-100.95496183206107
